"model_type","train_batch","species","horizon","skill"
"gam_var_scores",3,"DS",6,-2.42526379808425
"gam_var_scores",3,"PP",1,0.581228384416296
"gam_var_scores",3,"PP",2,0.69007873697327
"gam_var_scores",3,"PP",3,-0.181430379744593
"gam_var_scores",3,"PP",4,-0.298958040018469
"gam_var_scores",3,"PP",5,0.3065751542338
"gam_var_scores",3,"PP",6,-1.68483950307179
"gam_var_scores",3,"PB",1,-1.10955993572764
"gam_var_scores",3,"PB",2,-0.529297427559012
"gam_var_scores",3,"PB",3,-0.291571310308064
"gam_var_scores",3,"PB",4,-0.203448114514062
"gam_var_scores",3,"PB",5,-0.645043130583773
"gam_var_scores",3,"PB",6,-0.144122879396658
"gam_var_scores",3,"PF",1,0.952197448139028
"gam_var_scores",3,"PF",2,0.943716165200845
"gam_var_scores",3,"PF",3,0.930315877246373
"gam_var_scores",3,"PF",4,0.915245764144418
"gam_var_scores",3,"PF",5,-0.529400020549704
"gam_var_scores",3,"PF",6,0.842999898484146
"gam_ar_scores",1,"all_series",1,0.428375004946117
"gam_ar_scores",1,"all_series",2,0.420476111353326
"gam_ar_scores",1,"all_series",3,-0.017629438952946
"gam_ar_scores",1,"all_series",4,0.296532163748663
"gam_ar_scores",1,"all_series",5,0.420289448464514
"gam_ar_scores",1,"all_series",6,0.178792658473864
"gam_ar_scores",1,"DO",1,0.924391297536301
"gam_ar_scores",1,"DO",2,-1.08655687162657
"gam_ar_scores",1,"DO",3,-1.52566771004074
"gam_ar_scores",1,"DO",4,-4.55361018628778
"gam_ar_scores",1,"DO",5,-0.907108936024002
"gam_ar_scores",1,"DO",6,-2.8428374740273
"gam_ar_scores",1,"DM",1,0.558792539188716
"gam_ar_scores",1,"DM",2,0.86010763016716
"gam_ar_scores",1,"DM",3,0.497264681169869
"gam_ar_scores",1,"DM",4,0.85035629029227
"gam_ar_scores",1,"DM",5,0.667557801945305
"gam_ar_scores",1,"DM",6,0.695283639043311
"gam_ar_scores",1,"DS",1,-1.90086578743212
"gam_ar_scores",1,"DS",2,-1.96938200290092
"gam_ar_scores",1,"DS",3,-2.17935723685729
"gam_ar_scores",1,"DS",4,-2.74043297988037
"gam_ar_scores",1,"DS",5,-4.26705346457728
"gam_ar_scores",1,"DS",6,-5.73657290558004
"gam_ar_scores",1,"PP",1,0.484523541514131
"gam_ar_scores",1,"PP",2,0.522047470075989
"gam_ar_scores",1,"PP",3,0.487390264672014
"gam_ar_scores",1,"PP",4,0.536520426187906
"gam_ar_scores",1,"PP",5,0.693046860312661
"gam_ar_scores",1,"PP",6,0.23414387145283
"gam_ar_scores",1,"PB",1,-1.35574579795898
"gam_ar_scores",1,"PB",2,-0.66819667316673
"gam_ar_scores",1,"PB",3,-0.398894840123687
"gam_ar_scores",1,"PB",4,-0.325129026273722
"gam_ar_scores",1,"PB",5,-0.900186901154059
"gam_ar_scores",1,"PB",6,-0.338497495566837
"gam_ar_scores",1,"PF",1,0.564227112083473
"gam_ar_scores",1,"PF",2,0.457107337286337
"gam_ar_scores",1,"PF",3,0.442209017986713
"gam_ar_scores",1,"PF",4,0.385722457162073
"gam_ar_scores",1,"PF",5,-0.090244851267654
"gam_ar_scores",1,"PF",6,0.18031339227476
"gam_ar_scores",2,"all_series",1,0.428375004946117
"gam_ar_scores",2,"all_series",2,0.420476111353326
"gam_ar_scores",2,"all_series",3,-0.017629438952946
"gam_ar_scores",2,"all_series",4,0.296532163748663
"gam_ar_scores",2,"all_series",5,0.420289448464514
"gam_ar_scores",2,"all_series",6,0.178792658473864
"gam_ar_scores",2,"DO",1,0.924391297536301
"gam_ar_scores",2,"DO",2,-1.08655687162657
"gam_ar_scores",2,"DO",3,-1.52566771004074
"gam_ar_scores",2,"DO",4,-4.55361018628778
"gam_ar_scores",2,"DO",5,-0.907108936024002
"gam_ar_scores",2,"DO",6,-2.8428374740273
"gam_ar_scores",2,"DM",1,0.558792539188716
"gam_ar_scores",2,"DM",2,0.86010763016716
"gam_ar_scores",2,"DM",3,0.497264681169869
"gam_ar_scores",2,"DM",4,0.85035629029227
"gam_ar_scores",2,"DM",5,0.667557801945305
"gam_ar_scores",2,"DM",6,0.695283639043311
"gam_ar_scores",2,"DS",1,-1.90086578743212
"gam_ar_scores",2,"DS",2,-1.96938200290092
"gam_ar_scores",2,"DS",3,-2.17935723685729
"gam_ar_scores",2,"DS",4,-2.74043297988037
"gam_ar_scores",2,"DS",5,-4.26705346457728
"gam_ar_scores",2,"DS",6,-5.73657290558004
"gam_ar_scores",2,"PP",1,0.484523541514131
"gam_ar_scores",2,"PP",2,0.522047470075989
"gam_ar_scores",2,"PP",3,0.487390264672014
"gam_ar_scores",2,"PP",4,0.536520426187906
"gam_ar_scores",2,"PP",5,0.693046860312661
"gam_ar_scores",2,"PP",6,0.23414387145283
"gam_ar_scores",2,"PB",1,-1.35574579795898
"gam_ar_scores",2,"PB",2,-0.66819667316673
"gam_ar_scores",2,"PB",3,-0.398894840123687
"gam_ar_scores",2,"PB",4,-0.325129026273722
"gam_ar_scores",2,"PB",5,-0.900186901154059
"gam_ar_scores",2,"PB",6,-0.338497495566837
"gam_ar_scores",2,"PF",1,0.564227112083473
"gam_ar_scores",2,"PF",2,0.457107337286337
"gam_ar_scores",2,"PF",3,0.442209017986713
"gam_ar_scores",2,"PF",4,0.385722457162073
"gam_ar_scores",2,"PF",5,-0.090244851267654
"gam_ar_scores",2,"PF",6,0.18031339227476
"gam_ar_scores",3,"all_series",1,0.428375004946117
"gam_ar_scores",3,"all_series",2,0.420476111353326
"gam_ar_scores",3,"all_series",3,-0.017629438952946
